,Annualized Return,CAGR,Annualized Volatility,Maximum Drawdown,Sharpe Ratio,Sortino Ratio,Historical VaR 95%,Historical CVaR 95%
Equal Weight,0.22157646016735474,0.23100114323597287,0.16526486376960212,-0.2652440092672247,1.21971758285158,1.5845189205310954,0.015248108519026436,0.02406753545815188
Equity Heavy,0.25146177851802565,0.26073610315562346,0.19819722382623658,-0.3095262368676004,1.1678356237772167,1.504712885715468,0.018634075487446524,0.029222718142010193
Defensive,0.10085105705964409,0.10049943136299588,0.10070009951139608,-0.24018741664456722,0.802889544816133,1.096971174747818,0.009763125366577752,0.014566804929022388
Growth Tech,0.31980411766336975,0.3363898885465144,0.2436744365208189,-0.37046250055404706,1.230347023446406,1.6728306155929447,0.02364006718408527,0.035261563954952016
Balanced,0.16493518866765874,0.16779603838441148,0.1397674321810126,-0.2411823067673542,1.036973967440093,1.332548934182192,0.013131087281681888,0.020616634739786654
