,Annualized Return,CAGR,Annualized Volatility,Maximum Drawdown,Sharpe Ratio,Sortino Ratio,Historical VaR 95%,Historical CVaR 95%
AAPL,0.2658406420781908,0.2471900044158657,0.2873014080581397,-0.38515897522602605,0.8556889565554838,1.183933927614117,0.027138989729854353,0.04114489684092565
GLD,0.11545411995191088,0.1139030606079896,0.16085412787044134,-0.26404517857029486,0.5934203940901885,0.7977528317343463,0.015542495640880599,0.023489250788882806
JPM,0.21237954222237482,0.1933037387048162,0.2700270784444711,-0.4362649671270491,0.7124453715183091,0.9693133042910692,0.025252913650791707,0.03843430054838402
MSFT,0.23356374255019385,0.24423410133338042,0.27241577447539106,-0.3714848723012325,0.7839624667898457,1.0778310715891646,0.02658799720241217,0.03879668852597458
NVDA,0.6425149408446131,0.698223028774934,0.48233224207810466,-0.6633509053232765,1.2906351401319103,1.913406138788276,0.04418786607455107,0.0648771244415813
SPY,0.14317501765408855,0.13974523549452744,0.17620448344198802,-0.33717270912467157,0.6990458769719192,0.8578274156151371,0.016584574732600454,0.026758138365601244
TLT,0.0015948818075773056,-0.009353675683412499,0.14816928166888205,-0.48351152774637207,-0.12421682811119457,-0.18742512990140842,0.014828986429235504,0.02026091168655293
XOM,0.1255418143489094,0.08867386172327607,0.2752231641307674,-0.6134248332271659,0.3834772217747016,0.5390559275800912,0.025968823510835837,0.03955902684057544
