Date,Equal Weight,Equity Heavy,Defensive,Growth Tech,Balanced
2015-01-05,-0.012492517329254986,-0.01695513534604927,0.0019807925408866457,-0.01473429492445603,-0.00917323821117293
2015-01-06,-0.007018641527560924,-0.010743615056551763,0.005600903755106835,-0.011167329476110033,-0.0030897701299825537
2015-01-07,0.005046890803470375,0.007506135299674346,0.0029106731894380953,0.007506309212822435,0.0065027251114544255
2015-01-08,0.01809284622633564,0.02328145239349931,0.0030284330020050507,0.028153660273003762,0.013755793564474986
2015-01-09,-0.0009720880479223253,-0.0032617973294793105,0.003908966450656755,-0.0009112627946174999,-0.0009473944209579147
2015-01-12,-0.008564850686502437,-0.011351428876030524,0.0005671086739351748,-0.012754888143950817,-0.00622057078179896
2015-01-13,-0.000933052163594625,-0.0008893431378794501,-0.001500694551325415,-3.927973546087999e-05,-0.0011991618662890446
2015-01-14,-0.005727276808649576,-0.006204772678074967,-0.0001800609759173499,-0.002699014597720545,-0.0036665442650388206
2015-01-15,-0.006706781205010949,-0.01101896574346341,0.007174079274593075,-0.01049767399306533,-0.0036909960439180643
2015-01-16,0.010264064114063474,0.011528074430144766,0.0031851031761406905,0.008809919200185236,0.00722777311207082
2015-01-20,0.007109719041324562,0.00625791224979112,0.01016889666321234,0.00967168621202627,0.007612565478263446
2015-01-21,0.002126707138277825,0.0035989049052040853,-0.00259556395828136,0.003063577113317495,0.0005185618631861099
2015-01-22,0.01627897351373995,0.018511658412291108,0.00783265734957401,0.019855060843497866,0.01345398348083711
2015-01-23,-0.003443140671354912,-0.0034172736766983048,0.001541060641733865,0.0017557977648834852,-0.0010227124322430595
2015-01-26,-0.0008012155835359748,1.704564461813496e-05,-0.0029845556134584705,-0.002021689159059075,-0.0007004292555332401
2015-01-27,-0.02432351370394326,-0.030866539127738443,-0.006921219812688146,-0.045216678171299256,-0.01925603313002243
2015-01-28,-0.0071709637363794754,-0.0077953430541452704,0.0010086765366923297,-5.6952146815649806e-05,-0.0035537567397889
2015-01-29,0.008636033304965237,0.013471020953007945,-0.00236600551597069,0.018825060310285205,0.006714904882125266
2015-01-30,-0.009980321347550511,-0.01598521550061275,0.00535653073896852,-0.02045590566633841,-0.006638175349909624
2015-02-02,0.012652724247583288,0.015395971929950188,0.0020243660113442048,0.015302679402020566,0.00950927941380742
2015-02-03,0.00841749521987935,0.01216578640666686,-0.00547149945729301,0.00877512833491757,0.004366914711672229
2015-02-04,0.00045579106788446247,0.00028533799115501975,0.0012223954790793448,0.0037144955071708205,0.00018719808928186987
2015-02-05,0.006960842208734026,0.009449792419914504,0.0007034507537721611,0.010573056801193385,0.005338160763016049
2015-02-06,-0.005276578762277788,-0.003145534662527365,-0.01395960774509193,-0.006031934336833365,-0.007356970268939786
2015-02-09,0.000289686411380125,-0.0003586051527138301,-0.0005138649703825298,0.0005926283787814102,-0.0009707448485815599
2015-02-10,0.006841640496455375,0.010404991341746465,0.0001873924634176203,0.014118078011967515,0.00568965767216883
2015-02-11,-0.0004798283100938378,0.0007811232437269743,-0.00121870848338904,0.002486706306707695,0.0005826748269767246
2015-02-12,0.018714171727616635,0.021514251439293305,0.0037733993069725548,0.026643570832468984,0.011459755787866632
2015-02-13,0.004407485886387662,0.00555686495328546,0.0001545976153316852,0.00624019335652256,0.0028805185633956104
2015-02-17,-0.0021128175113107875,0.0006082100985832297,-0.00865385806178931,0.0010227626685205397,-0.0031484018730355058
2015-02-18,-0.003874042264334233,-0.0038142039106691815,0.0031095746398101098,-0.000996898592711905,-0.00019693955907904335
2015-02-19,-0.003806201326644075,-0.002653168461679755,-0.0035279922088436648,-0.0006284088204574951,-0.0030400220415974554
2015-02-20,0.005236906110002412,0.00641078553567897,0.0022260518954040198,0.00667814118555793,0.004872740514405725
2015-02-23,0.0025692339868718375,0.00267515699784081,0.005975162423803895,0.0070120180230588405,0.00445088385389039
2015-02-24,0.005864310087454863,0.00468720336600142,0.004698110353266635,0.00177031116633889,0.00471320841534006
2015-02-25,-0.002612597508182925,-0.004397452163725305,0.0008190184439614899,-0.008586100915432214,-0.00185330962665034
2015-02-26,0.00023755119694308783,0.0013843337102053402,-0.0036265019286506844,0.0035388300365106705,-0.00143732143071953
2015-02-27,-0.0033044407824983375,-0.004918769151005111,0.0011252433731905648,-0.006576921747970621,-0.0020333653218283306
