,Annualized Return,CAGR,Annualized Volatility,Maximum Drawdown,Sharpe Ratio,Sortino Ratio,Historical VaR 95%,Historical CVaR 95%
AAPL,0.2629201207200494,0.2471900044158657,0.28795125732011645,-0.38515906071482875,0.8436154194318874,1.1620821556876773,0.027153820986472326,0.04146267542601091
GLD,0.12120112278669891,0.1139030606079896,0.1613466950572706,-0.26404517857029486,0.6272277393148784,0.8458414538686073,0.015531385844581897,0.023489250788882806
JPM,0.21352970123101025,0.1933037387048162,0.2698388724958354,-0.436265104798105,0.7172046764092418,0.9744759890499638,0.025286528419420327,0.038502692049192176
MSFT,0.25719130052647426,0.24423410133338042,0.2763608495850068,-0.37148466390220414,0.8582666498624864,1.197897172449104,0.026586554439156508,0.03879669439537841
NVDA,0.6465399840022981,0.698223028774934,0.482166794499946,-0.6633509626581438,1.2994258234893201,1.9259204762793218,0.04423477514856724,0.06491643546757203
SPY,0.14669768824288368,0.13974523549452744,0.17614122293458423,-0.33717261131099074,0.7192960633067536,0.8828439380220493,0.01654995492289235,0.02675811698119229
TLT,0.0015311395079373768,-0.009353675683412499,0.1480367776936987,-0.48351151014279126,-0.12475859566651974,-0.18810950955091751,0.014839265273682319,0.020272318295931076
XOM,0.12300062432148587,0.08867386172327607,0.27500146197476927,-0.6134249050136238,0.3745457336184487,0.5272130336287444,0.025957702754456868,0.039559008912988004
